img,x,y,w,h,theta
m4980153372995469494,722,881,260.43493777756163,72.6830825805664,-0.6172638797220668
m4980153372995469494,922,505,284.616029290022,73.15823364257812,-0.7341581722043012
m4980153372995469494,688,855,202.0607920240597,71.79300689697266,-0.6134787944733322
m4980153372995469494,1281,168,201.5632336062381,71.78543090820312,-0.814898238102435
m4980153372995469494,765,821,227.9227308326434,72.14860534667969,-0.6484875065636286
m4980153372995469494,1111,359,174.16381932833352,71.47869873046875,-0.6658909948163836
m4980153372995469494,1072,341,221.44909780026512,72.05413818359375,-0.5981276685924491
m4980153372995469494,849,718,202.39190782418282,71.79888916015625,-0.5741309463731046
m4980153372995469494,840,771,228.45953494104467,72.15650939941406,-0.7307602500307694
m4980153372995469494,682,858,246.18841684139932,72.43482208251953,-0.7839111098694178
m4980153372995469494,867,588,198.7095349028666,71.75338745117188,-0.8615218916116789
m4980153372995469494,730,877,270.875367583366,72.8791732788086,-0.4299589081305803
m4980153372995469494,1085,327,236.81213508557957,72.28460693359375,-0.6400236663560506
